,wavelength,TranDep,sigma_p,sigma_m
384,0.76656,0.0152116,0.000446,-0.000446
385,0.76701,0.014392799999999999,0.0004404,-0.0004404
386,0.76746,0.0143787,0.0003904,-0.0003904
387,0.76792,0.0145729,0.00040570000000000005,-0.00040570000000000005
388,0.76837,0.0148122,0.00039460000000000005,-0.00039460000000000005
389,0.76882,0.014900400000000001,0.0004119,-0.0004119
390,0.76927,0.0138898,0.00037490000000000006,-0.00037490000000000006
391,0.76973,0.0148755,0.0003995,-0.0003995
392,0.77018,0.015440100000000002,0.0004056,-0.0004056
393,0.77063,0.014704900000000002,0.0004253,-0.0004253
394,0.77109,0.0146934,0.0003957,-0.0003957
395,0.77154,0.0145471,0.0004133,-0.0004133
396,0.772,0.0146631,0.0004049,-0.0004049
397,0.77245,0.015561400000000001,0.0004172,-0.0004172
398,0.7729,0.015157700000000001,0.0003927,-0.0003927
399,0.77336,0.0144848,0.0003695,-0.0003695
400,0.77381,0.0142323,0.0003637,-0.0003637
401,0.77427,0.014178200000000002,0.00041390000000000003,-0.00041390000000000003
402,0.77472,0.014660200000000002,0.00039440000000000005,-0.00039440000000000005
403,0.77517,0.0144893,0.0003864,-0.0003864
404,0.77563,0.0160018,0.0004147,-0.0004147
405,0.77608,0.0144337,0.0004405,-0.0004405
406,0.77654,0.015045900000000001,0.0004312,-0.0004312
407,0.77699,0.014652700000000001,0.00041529999999999996,-0.00041529999999999996
408,0.77745,0.01456,0.0004312,-0.0004312
409,0.7779,0.0139293,0.0004239,-0.0004239
410,0.77836,0.0139302,0.0004167,-0.0004167
411,0.77881,0.0151501,0.00045740000000000006,-0.00045740000000000006
412,0.77927,0.0140648,0.00039620000000000004,-0.00039620000000000004
413,0.77972,0.0146362,0.00039940000000000006,-0.00039940000000000006
414,0.78018,0.0144234,0.0004313,-0.0004313
415,0.78063,0.013330900000000001,0.00038080000000000004,-0.00038080000000000004
416,0.78109,0.0139516,0.0004104,-0.0004104
417,0.78154,0.0139387,0.00038960000000000004,-0.00038960000000000004
418,0.782,0.013418000000000001,0.0004268,-0.0004268
419,0.78246,0.014721,0.0004257,-0.0004257
420,0.78291,0.0130335,0.00043,-0.00043
421,0.78337,0.013968000000000001,0.0004126,-0.0004126
422,0.78382,0.0134833,0.00044280000000000003,-0.00044280000000000003
423,0.78428,0.014114500000000002,0.0004416,-0.0004416
424,0.78473,0.0138121,0.0004253,-0.0004253
425,0.78519,0.0136687,0.0004268,-0.0004268
426,0.78565,0.0139333,0.0004133,-0.0004133
427,0.7861,0.0143255,0.0004667,-0.0004667
428,0.78656,0.0148371,0.00043200000000000004,-0.00043200000000000004
429,0.78702,0.014652400000000001,0.000443,-0.000443
430,0.78747,0.014080200000000001,0.00044310000000000004,-0.00044310000000000004
431,0.78793,0.013249200000000001,0.00041680000000000005,-0.00041680000000000005
432,0.78839,0.014480699999999999,0.0004371,-0.0004371
433,0.78884,0.0143516,0.00047230000000000004,-0.00047230000000000004
434,0.7893,0.0147569,0.00040800000000000005,-0.00040800000000000005
435,0.78976,0.014618899999999999,0.00041390000000000003,-0.00041390000000000003
436,0.79021,0.0132835,0.0004122,-0.0004122
437,0.79067,0.014846999999999999,0.00046760000000000004,-0.00046760000000000004
438,0.79113,0.0144445,0.000464,-0.000464
439,0.79159,0.0140984,0.0004065,-0.0004065
440,0.79204,0.0147522,0.0004029,-0.0004029
441,0.7925,0.0153658,0.0004399,-0.0004399
442,0.79296,0.0147559,0.0004462,-0.0004462
443,0.79342,0.015782,0.0004261,-0.0004261
444,0.79387,0.0144218,0.0004346,-0.0004346
445,0.79433,0.0145851,0.00044790000000000005,-0.00044790000000000005
446,0.79479,0.014395400000000001,0.0004586,-0.0004586
447,0.79525,0.0139879,0.0004583,-0.0004583
448,0.79571,0.013596299999999999,0.00042360000000000005,-0.00042360000000000005
449,0.79616,0.0144629,0.00045690000000000005,-0.00045690000000000005
450,0.79662,0.0141062,0.0004396,-0.0004396
451,0.79708,0.014569,0.0004623,-0.0004623
452,0.79754,0.0148122,0.00039440000000000005,-0.00039440000000000005
453,0.798,0.0140771,0.0004662,-0.0004662
454,0.79846,0.014240200000000001,0.0004298,-0.0004298
455,0.79891,0.0147703,0.0004847,-0.0004847
456,0.79937,0.014274100000000001,0.00045190000000000003,-0.00045190000000000003
457,0.79983,0.0138619,0.0004601,-0.0004601
458,0.80029,0.0138948,0.0004372,-0.0004372
459,0.80075,0.01348,0.00048770000000000004,-0.00048770000000000004
460,0.80121,0.014669300000000001,0.00045490000000000005,-0.00045490000000000005
461,0.80167,0.0144493,0.000456,-0.000456
462,0.80213,0.0148575,0.0004157,-0.0004157
463,0.80259,0.014311400000000002,0.0004387,-0.0004387
464,0.80304,0.0149364,0.0004908,-0.0004908
465,0.8035,0.0144312,0.0004353,-0.0004353
466,0.80396,0.013889100000000001,0.00042750000000000004,-0.00042750000000000004
467,0.80442,0.013553299999999999,0.00045440000000000004,-0.00045440000000000004
468,0.80488,0.0134907,0.0004287,-0.0004287
469,0.80534,0.0129652,0.0004611,-0.0004611
470,0.8058,0.0148714,0.0004331,-0.0004331
471,0.80626,0.0137451,0.0004558,-0.0004558
472,0.80672,0.014165200000000001,0.0005023,-0.0005023
473,0.80718,0.0157102,0.0004883,-0.0004883
474,0.80764,0.0137977,0.0004805,-0.0004805
